county_name,state_abbreviation,study_year,total_pop,mcsa,mfccsa,mc_infant,mc_toddler,mc_preschool,mfcc_infant,mfcc_toddler,mfcc_preschool
San Luis Obispo County,CA,2008,262238,144.05,128.81,241.81,170.44,170.44,160.47,145.65,145.65
San Luis Obispo County,CA,2009,262149,154.28,131.11,259.31,197.45,197.45,160.83,152.12,152.12
San Luis Obispo County,CA,2010,265577,171.85,129.17,276.07,208.06,208.06,178.23,165.86,165.86
San Luis Obispo County,CA,2011,267871,189.43,127.24,292.82,218.67,218.67,195.62,179.61,179.61
San Luis Obispo County,CA,2012,270121,207,125.3,309.58,229.28,229.28,213.02,193.35,193.35
San Luis Obispo County,CA,2013,272094,183.08,137.24,298.58,217.08,217.08,202.65,185.41,185.41
San Luis Obispo County,CA,2014,274184,159.15,149.17,287.58,204.87,204.87,192.27,177.46,177.46
San Luis Obispo County,CA,2015,276517,171.64,147.2,294.03,199.44,199.44,190.14,174.8,174.8
San Luis Obispo County,CA,2016,278680,184.12,145.23,300.48,194,194,188,172.13,172.13
San Luis Obispo County,CA,2017,280119,186.63,151.05,306.83,201.81,201.81,195.88,179,179
San Luis Obispo County,CA,2018,281455,189.13,156.87,313.17,209.62,209.62,203.75,185.86,185.86
